src_id,relation,dst_id,evidence
ARTICLE::MK_11257331,has_scope,SCOPE::시장전체,물가
ARTICLE::MK_11257331,has_direction,DIRECTION::neutral,
ARTICLE::MK_11257331,has_driver,FACTOR::물가/원자재,물가
ARTICLE::MK_11257331,mentions,ENTITY::물가,물가
ARTICLE::MK_11287198,has_scope,SCOPE::시장전체,
ARTICLE::MK_11287198,has_direction,DIRECTION::neutral,
ARTICLE::MK_11287198,has_driver,FACTOR::기타,
ARTICLE::MK_11293850,has_scope,SCOPE::시장전체,한은
ARTICLE::MK_11293850,has_direction,DIRECTION::neutral,
ARTICLE::MK_11293850,has_driver,FACTOR::금리/통화,한은
ARTICLE::MK_11293850,mentions,ENTITY::한은,한은
ARTICLE::MK_11294578,has_scope,SCOPE::시장전체,"기준금리, 금리"
ARTICLE::MK_11294578,has_direction,DIRECTION::neutral,
ARTICLE::MK_11294578,has_driver,FACTOR::금리/통화,"기준금리, 금리"
ARTICLE::MK_11294578,mentions,ENTITY::기준금리,기준금리
ARTICLE::MK_11294578,mentions,ENTITY::금리,금리
ARTICLE::MK_11316925,has_scope,SCOPE::시장전체,관세
ARTICLE::MK_11316925,has_direction,DIRECTION::neutral,
ARTICLE::MK_11316925,has_driver,FACTOR::환율/무역,관세
ARTICLE::MK_11316925,mentions,ENTITY::관세,관세
ARTICLE::MK_11331018,has_scope,SCOPE::섹터,게임
ARTICLE::MK_11331018,has_direction,DIRECTION::neutral,
ARTICLE::MK_11331018,has_driver,FACTOR::산업수요/공급망,게임
ARTICLE::MK_11331018,mentions,ENTITY::게임,게임
ARTICLE::MK_390658,has_scope,SCOPE::시장전체,"수출, 관세"
ARTICLE::MK_390658,has_direction,DIRECTION::neutral,
ARTICLE::MK_390658,has_driver,FACTOR::환율/무역,"수출, 관세"
ARTICLE::MK_390658,mentions,ENTITY::수출,수출
ARTICLE::MK_390658,mentions,ENTITY::관세,관세
ARTICLE::MK_406383,has_scope,SCOPE::시장전체,물가
ARTICLE::MK_406383,has_direction,DIRECTION::negative,물가상승
ARTICLE::MK_406383,has_driver,FACTOR::물가/원자재,물가
ARTICLE::MK_406383,mentions,ENTITY::물가,물가
ARTICLE::MK_406383,mentions,ENTITY::물가상승,물가상승
ARTICLE::MK_11344253,has_scope,SCOPE::시장전체,금리
ARTICLE::MK_11344253,has_direction,DIRECTION::positive,금리인하
ARTICLE::MK_11344253,has_driver,FACTOR::금리/통화,금리
ARTICLE::MK_11344253,mentions,ENTITY::금리,금리
ARTICLE::MK_11344253,mentions,ENTITY::금리인하,금리인하
ARTICLE::MK_473688,has_scope,SCOPE::섹터,은행
ARTICLE::MK_473688,has_direction,DIRECTION::positive,"리스크완화, 상향"
ARTICLE::MK_473688,has_driver,FACTOR::산업수요/공급망,은행
ARTICLE::MK_473688,mentions,ENTITY::은행,은행
ARTICLE::MK_473688,mentions,ENTITY::리스크완화,리스크완화
